GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
A3194001010844                   X#A3194001010844#basic shirt w.fine u-boat neck#4063055978669#24,99
A3194001010846                   X#A3194001010846#basic shirt w.fine u-boat neck#4063055978683#24,99
A3194001123834                   X#A3194001123834#basic shirt w.fine u-boat neck#4063055995390#24,99
A3194001123836                   X#A3194001123836#basic shirt w.fine u-boat neck#4063055995413#24,99
A3194001123838                   X#A3194001123838#basic shirt w.fine u-boat neck#4063055995437#24,99
A3194001123840                   X#A3194001123840#basic shirt w.fine u-boat neck#4063055995451#24,99
A3194001123842                   X#A3194001123842#basic shirt w.fine u-boat neck#4063055995475#24,99
A3194001123844                   X#A3194001123844#basic shirt w.fine u-boat neck#4063055995499#24,99
A3194001123846                   X#A3194001123846#basic shirt w.fine u-boat neck#4063055995512#24,99
A3194001451034                   X#A3194001451034#basic shirt w.fine u-boat neck#4063056024013#24,99
A3194001451036                   X#A3194001451036#basic shirt w.fine u-boat neck#4063056024020#24,99
A3194001451038                   X#A3194001451038#basic shirt w.fine u-boat neck#4063056024037#24,99
A3194001451040                   X#A3194001451040#basic shirt w.fine u-boat neck#4063056024044#24,99
A3194001451042                   X#A3194001451042#basic shirt w.fine u-boat neck#4063056024051#24,99
A3194001451044                   X#A3194001451044#basic shirt w.fine u-boat neck#4063056024068#24,99
A3194001451046                   X#A3194001451046#basic shirt w.fine u-boat neck#4063056024075#24,99
A3194001471734                   X#A3194001471734#basic shirt w.fine u-boat neck#4063055995406#24,99
A3194001471736                   X#A3194001471736#basic shirt w.fine u-boat neck#4063055995420#24,99
A3194001471738                   X#A3194001471738#basic shirt w.fine u-boat neck#4063055995444#24,99
A3194001471740                   X#A3194001471740#basic shirt w.fine u-boat neck#4063055995468#24,99
A3194001471742                   X#A3194001471742#basic shirt w.fine u-boat neck#4063055995482#24,99
A3194001471744                   X#A3194001471744#basic shirt w.fine u-boat neck#4063055995505#24,99
A3194001471746                   X#A3194001471746#basic shirt w.fine u-boat neck#4063055995529#24,99
A3194031123834                   X#A3194031123834#shirt w.embroidered panel#4063055978904#24,99
A3194031123836                   X#A3194031123836#shirt w.embroidered panel#4063055978928#24,99
A3194031123838                   X#A3194031123838#shirt w.embroidered panel#4063055978942#24,99
A3194031123840                   X#A3194031123840#shirt w.embroidered panel#4063055978966#24,99
A3194031123842                   X#A3194031123842#shirt w.embroidered panel#4063055978980#24,99
A3194031123844                   X#A3194031123844#shirt w.embroidered panel#4063055979000#24,99
A3194031123846                   X#A3194031123846#shirt w.embroidered panel#4063055979024#24,99
A3194031469434                   X#A3194031469434#shirt w.embroidered panel#4063055995734#24,99
A3194031469436                   X#A3194031469436#shirt w.embroidered panel#4063055995741#24,99
A3194031469438                   X#A3194031469438#shirt w.embroidered panel#4063055995758#24,99
A3194031469440                   X#A3194031469440#shirt w.embroidered panel#4063055995765#24,99
